RawService,Category,CanonicalTag,OrgCount
24-Hour Crisis Hotline,Mental & Behavioral Health,Crisis Hotline,2
24-Hour Crisis Hotline,Domestic & Sexual Violence Services,Domestic Violence Services,2
Academic Excellence,K-12 Academic Support,Tutoring & Homework Help,1
Academic Overtime,K-12 Academic Support,After-School Programs,1
Academic Program (ages three through grade eight),K-12 Academic Support,Tutoring & Homework Help,1
Academic Support,K-12 Academic Support,Tutoring & Homework Help,2
Academic Tutoring and Homework Help,K-12 Academic Support,Tutoring & Homework Help,1
Access to physical,,,1
Active Older Adult Programs,Disability & Aging Services,Senior Programs,1
Adopt-A-Block community outreach,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Adopt-A-Block community outreach,Community Events & Public Life,Neighborhood Improvement,1
Adult Education,Adult Education & ESL,Adult Education & GED,3
Adult Faith Formation,K-12 Academic Support,K-12 Schools,1
Adult Technical Training and Apprenticeship Programs,Adult Education & ESL,Adult Education & GED,1
Advisory Services,Civic & Government Services,Information & Referral,1
Advocacy,Civic & Government Services,Community Organizing & Advocacy,3
Advocacy Services,Legal & Immigration,Civil Legal Aid,1
Affordable Housing Development,Housing & Economic Development,Affordable Housing Development,2
After School Program,K-12 Academic Support,After-School Programs,1
After-School Activities,K-12 Academic Support,After-School Programs,1
After-School and Summer Programs,K-12 Academic Support,After-School Programs,1
Alleviate Hunger,Food Assistance,Food Distribution & Access,1
Alternative Spring Break Service Trips,Youth Development & Mentoring,Summer Camps & Programs,1
Alumni Resources,College & Career Readiness,College Access & Financial Aid,1
Alumni Support Program,College & Career Readiness,College Access & Financial Aid,1
Alumni Workshops,College & Career Readiness,College Access & Financial Aid,1
Art Gallery,Arts & Creative Programs,Visual & Performing Arts,1
Arts,Arts & Creative Programs,Visual & Performing Arts,2
Arts programs,Arts & Creative Programs,Visual & Performing Arts,1
Athletic Programs and Summer Conditioning,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Athletics Programs,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Autism Services,Disability & Aging Services,Disability Support Services,1
Automotive Repair and Collision Services (Public),Employment & Workforce Training,Vocational & Trade Training,1
Back to School Program,Clothing & Household Essentials,Clothing & Essential Goods,1
Back to School Supply Drive,Clothing & Household Essentials,Clothing & Essential Goods,1
Baptism Services,Faith & Spiritual Services,Faith & Worship,1
Basic Life Support training,Civic & Government Services,Disaster Relief & Preparedness,1
Basic Life Support training,Health Care (Clinical),Primary & Walk-In Care,1
Behavioral Health Services,Mental & Behavioral Health,Mental Health Counseling,1
Beyond Resilient Girls Program,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Billing and Financial Counseling,Health Care (Clinical),Health Insurance Enrollment,1
Billing and Financial Counseling,Financial Counseling,Financial Coaching & Credit Counseling,1
Blood Donation,Civic & Government Services,Disaster Relief & Preparedness,1
Blood Donation,Health Care (Clinical),Primary & Walk-In Care,1
Board Development and Training,Small Business & Nonprofit Support,Nonprofit Capacity Building,1
Boat Access for Members,"Sports, Recreation & Fitness",Boating & Waterfront Recreation,1
Book clubs,Civic & Government Services,Library & Technology Access,1
Book clubs,Arts & Creative Programs,Visual & Performing Arts,1
Breastfeeding and Bottle Feeding Support,Clothing & Household Essentials,Diapers & Baby Supplies,1
Bridge Ministry outreach and essential supplies,Clothing & Household Essentials,Clothing & Essential Goods,1
Bridge Ministry outreach and essential supplies,Faith & Spiritual Services,Faith & Worship,1
Brighten the Holidays,Clothing & Household Essentials,Clothing & Essential Goods,1
Bus Route Information,Civic & Government Services,Transportation Assistance,1
Business & Computer Technology Programs,K-12 Academic Support,STEM Programs,1
Business Accelerator Program,Small Business & Nonprofit Support,Small Business & Entrepreneurship,1
Business Partnerships for Community Impact,Small Business & Nonprofit Support,Small Business & Entrepreneurship,1
Camp and Summer Programs,Youth Development & Mentoring,Summer Camps & Programs,1
Campus Ministry and Retreats,K-12 Academic Support,K-12 Schools,1
Canoeing,"Sports, Recreation & Fitness",Boating & Waterfront Recreation,1
Capacity Building,Small Business & Nonprofit Support,Nonprofit Capacity Building,1
Career Exploration,Employment & Workforce Training,Vocational & Trade Training,1
Career Exploration Workshops,Employment & Workforce Training,Vocational & Trade Training,1
Career Resource Library,Civic & Government Services,Library & Technology Access,1
Career and Technical Education Programs,Employment & Workforce Training,Vocational & Trade Training,1
Catering Services,,,1
Celebrate Recovery program,Mental & Behavioral Health,Substance Use & Recovery,1
Celebrate Recovery program,Faith & Spiritual Services,Faith & Worship,1
Cemetery Services,Faith & Spiritual Services,Faith & Worship,1
Character & Leadership Development,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Character Development Programs,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Child Advocacy,Family Support & Child Welfare,Child Safety & Advocacy,2
Child Care (Infant Through School-Age),Early Childhood & Child Care,Child Care & Early Education,1
Child Care Professional Training and Workforce Development,Employment & Workforce Training,Vocational & Trade Training,1
Child Care Referrals and Resources,Early Childhood & Child Care,Child Care & Early Education,1
Child Care Services,Early Childhood & Child Care,Child Care & Early Education,1
Child Safety Training,Family Support & Child Welfare,Child Safety & Advocacy,1
Child and Family Counseling,Family Support & Child Welfare,Family Counseling & Support,1
Childcare Services,Early Childhood & Child Care,Child Care & Early Education,1
Childhood Lead Poisoning Prevention,Utility & Emergency Financial Aid,Home Repair & Energy Efficiency,1
Childhood Lead Poisoning Prevention,Family Support & Child Welfare,Child Safety & Advocacy,1
Children's Safety Program,Family Support & Child Welfare,Child Safety & Advocacy,1
Citizenship Exam preparation,Legal & Immigration,Citizenship & Naturalization,1
Citizenship and Naturalization Services,Legal & Immigration,Citizenship & Naturalization,1
Citizenship preparation and resources,Legal & Immigration,Citizenship & Naturalization,1
City Forms & Records Access,Civic & Government Services,Municipal & City Services,1
Civic Transparency & Access,Civic & Government Services,Community Organizing & Advocacy,1
Climate Resilient Neighborhoods Initiative,Environmental Programs,Environment & Sustainability,1
Clothing and Housewares Donation Drive,Clothing & Household Essentials,Clothing & Essential Goods,1
Coaching Certification,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Cognitive stimulation activities,Disability & Aging Services,Senior Programs,1
College & Career Planning,College & Career Readiness,College Access & Financial Aid,1
