Name,Services,Service_Method,Source_URLs,Landed_URL,Old_Services
ACT Lawrence,"First-Time Homebuyer Education, Landlord/Tenant Rights & Responsibilities Workshops, Homeowner Counseling and Foreclosure Prevention, Rental Assistance and Counseling, Youth Housing Support (ages 18-24), Financial Opportunity Center, Youth Center, Vocational Training and Certifications",gemini,https://www.actlawrence.org/housing | https://www.actlawrence.org/financial-literacy-and-rental-support | https://www.actlawrence.org/vocational-program,https://www.actlawrence.org/,"Adult Education, Economic Mobility, Workforce Development, Financial Literacy, Food Insecurity"
Bellesini Academy,"Rigorous Academic Curriculum, After-School Activities, Evening Study Program, Summer Enrichment Program, Alumni Support Program, Family Partnership, Extended School Day",gemini,https://bellesiniacademy.org/learning | https://bellesiniacademy.org/copy-of-evening-study-program | https://bellesiniacademy.org/copy-of-summer-program | https://bellesiniacademy.org/alumni-support-program | https://bellesiniacademy.org/copy-of-alumni-support-program,https://bellesiniacademy.org/,"K-8 Education, Faith-based Education, Academic Support"
Beyond Soccer,"Summer Enrichment, Lawrence Youth Soccer, Winter Futsal, Academic Overtime, Health Kicks!, Resilient Girls Project, Leadership & Youth Jobs, In School Programs, Paul Lefty Wennik Scholarship, SummerNights",gemini,https://www.beyondsoccerlawrence.org/programs/ | https://www.beyondsoccerlawrence.org/programs/summer-enrichment/ | https://www.beyondsoccerlawrence.org/programs/soccer/lys/ | https://www.beyondsoccerlawrence.org/programs/futsal/ | https://www.beyondsoccerlawrence.org/programs/academicovertime/ | https://www.beyondsoccerlawrence.org/programs/healthkicks/,https://www.beyondsoccerlawrence.org/,"Athletics, Youth Development, After School"
Bread and Roses Housing,"Homebuyer Education and Counseling, Foreclosure Prevention, Financial Literacy Program, Rental Counseling, Credit Counseling, Local Consumer Protection Program, Environmental Health and Justice Programs, Family Strengthening and Mental Health Services, Nueva Esperanza Elderly Program, COVID-19 Prevention, Skill Development and Training, Housing Development",redirected_domain,https://mycaf.org/homebuyer-program/ | https://mycaf.org/financial-literacy-program/ | https://mycaf.org/localconsumerprotection/ | https://mycaf.org/nueva-esperanza/ | https://mycaf.org/workforce-and-economic-development-programs/ | https://mycaf.org/digital-literacy-training-program/,https://mycaf.org/brh-development/,"Housing Insecurity, Homelessness, Affordable Housing"
Bread and Roses Kitchen,"Community Meals, Grab and Go, Emergency Food Pantry, Community Food Outreach, Food Rescue, Life and Health Services",gemini,https://breadandroseskitchen.org/life-and-health-services | https://breadandroseskitchen.org/donate-goods-and-services | https://breadandroseskitchen.org/what-we-do,https://breadandroseskitchen.org/,"Food Insecurity, Food Pantry, Hunger Relief"
Greater Lawrence Family Health,"Primary Health Care, Pediatric Care, Prenatal Care and Obstetrics, Geriatric Care, Gynecology, Pharmacy Services, Walk-in Care, Laboratory Services, Nutrition Counseling, Health Insurance Enrollment and Cost Assistance, Healthcare Professional Residency Programs",gemini,https://glfhc.org/# | https://glfhc.org/full-list-of-services/ | https://glfhc.org/?page_id=1267,https://glfhc.org/,"Healthcare, Primary Care, Dental Care, Behavioral Health, Maternal Health"
International Institute of Greater Lawrence,"Immigration Assistance, ESOL Classes, Child Care Services, Fiscal Agent Services, Translations",gemini,https://immigrationlawrence.org,https://immigrationlawrence.org/,"Adult Education, ESL, Immigration, Legal Services, Literacy, Citizenship"
Lazarus House Ministries,"Food Pantry, Soup Kitchen, Thrift Store, Shelter, Community Resources, Advocacy",gemini,https://lazarushouse.org/services/food/ | https://lazarushouse.org/services/clothing/ | https://lazarushouse.org/services/shelter/ | https://lazarushouse.org/services/community-resources/ | https://lazarushouse.org/services/advocacy/,https://lazarushouse.org/,"Food Insecurity, Housing Insecurity, Homelessness, Emergency Shelter, Workforce Development, Food Pantry"
Northeast Justice Center,"Child Support Legal Services, Domestic Abuse & Crime Victim Legal Services, Housing & Shelter Legal Services, Money & Debt Legal Services, Family Law Services (excluding child support), Public Benefits & SSI Legal Services, Employment & Unemployment Legal Services, Immigration Legal Services, Court Hearings & Language Rights Legal Services, Criminal Records (CORI) & License Legal Services, Health & Disability Rights Legal Services, School-related Legal Services",gemini,https://www.masslegalhelp.org/children-families-divorce/child-support | https://www.masslegalhelp.org/public-benefits-ssi/department-transitional-assistance-dta/get-help-when-you-cant-reach-dta-assistance-line,https://www.masslegalhelp.org/,"Legal Services, Immigration Law, Housing Law, Consumer Protection, Benefits Assistance"
St. Mary's Parish,"Early Childhood Education (Pre-School/Kindergarten), Sacramental Preparation (First Communion, Confirmation, Christian Initiation), Mass and Confession Services, Perpetual Adoration, Adult Faith Formation (Bible Courses, Parent Classes, Neocatechumenal Way, Talks), Youth Programs (Youth Center, Youth Groups), Child Safety Training, Baptism Services, Cultural and Religious Celebrations",gemini,https://www.stmaryassumption-lawrence.org/pre-school-kindergarten-program | https://www.stmaryassumption-lawrence.org/service-and-volunteers,https://www.stmaryassumption-lawrence.org/,"Faith-based Services, Community Outreach, Food Pantry, Social Services"
