Name,Services_Found
ACT Lawrence,"Housing services, first-time homebuyer assistance, homeowner resources, rental resources and assistance, mortgage resources, foreclosure prevention, financial coaching, workforce development, youth programs, community engagement workshops"
Bellesini Academy,"Academic instruction, after-school activities, evening study program, summer program, alumni support, family partnership programs"
Beyond Soccer,"Soccer and futsal programs, summer enrichment camps, academic tutoring, college and career readiness support, fitness classes, nutrition education, cooking courses, youth leadership development, youth jobs, Resilient Girls Project, scholarships"
Bread and Roses Housing,"Foreclosure prevention, homebuyer education, financial literacy training, rental counseling, credit counseling, local consumer protection, environmental health education, family strengthening and mental health support, elderly assistance programs, workforce training, digital literacy classes, CDL Class B training, youth STEM programs, small business training, housing development"
Bread and Roses Kitchen,"Community meals, grab and go meals, emergency food pantry, community food outreach, food rescue, monthly mobile meals, life and health services"
Children's Friend and Family Services- a division of JRI,No services listed
Community Giving Tree,"Distribution of recycled children's clothing, baby equipment, diapers, and basic necessities, volunteer opportunities, community donation drives"
Community InRoads,"Pro bono consulting for nonprofits, executive roundtables, cultural inclusion training, board development workshops, nonprofit resources"
EforAll,No services listed
Elevated Thought,"Creative youth apprenticeships, summer programs, after-hours youth programs, creative workspace rentals, mural creation, fine art, graphic design, videography, photography, artist workshops and residencies"
Elliot Community Services,"Adult mental health counseling and psychiatry services, developmental disability and brain injury programming, homelessness services, pregnancy, early childhood, and caregiving support, children, youth, and families behavioral health, residential programs, suicide prevention care coordination, community behavioral health centers, community service agency programs"
Esperanza Academy,"Tuition-free independent school education for girls, academic programs, graduate success support, restorative justice programming, music therapy"
Essex County Habitat For Humanity,No services available (website access forbidden)
Family Services of Merrimack Valley/LMCC,"Youth development programs, parent education, mental health and wellness services, child advocacy (CASA), family resource center services, Samaritans suicide prevention and training, QPR training, youth mental health first aid"
Greater Lawrence Community Action Council (GLCAC),"Community service center, community and family support center, housing assistance, income-eligible reduced transit fares, tax preparation assistance, coordinated family and community engagement, Head Start programs, childcare services, home energy assistance, energy conservation programs, weatherization, health insurance navigation, Women Infants and Children (WIC) nutrition services, childhood lead poisoning prevention, adult learning, career center and workforce development, immigration legal services"
Greater Lawrence Community Boating,No services available (page not found)
Greater Lawrence Family Health,"Primary healthcare, pharmacy services, residency training, health insurance outreach and enrollment support, mobile health clinic services"
